Year,Technology,Avg_Interest
2020,Blockchain,41.857142857142854
2020,5G,34.285714285714285
2020,Edge Computing,18.0
2020,Quantum Computing,6.571428571428571
2020,Generative AI,0.0
2021,Blockchain,64.86538461538461
2021,5G,41.38461538461539
2021,Edge Computing,24.942307692307693
2021,Quantum Computing,7.365384615384615
2021,Generative AI,0.0
2022,5G,61.78846153846154
2022,Blockchain,60.57692307692308
2022,Edge Computing,31.21153846153846
2022,Quantum Computing,8.192307692307692
2022,Generative AI,0.19230769230769232
2023,5G,76.66037735849056
2023,Blockchain,40.62264150943396
2023,Edge Computing,25.452830188679247
2023,Quantum Computing,10.075471698113208
2023,Generative AI,10.018867924528301
2024,5G,76.03846153846153
2024,Blockchain,46.94230769230769
2024,Edge Computing,25.326923076923077
2024,Generative AI,15.326923076923077
2024,Quantum Computing,14.48076923076923
2025,5G,75.4
2025,Blockchain,53.75555555555555
2025,Edge Computing,47.46666666666667
2025,Quantum Computing,37.77777777777778
2025,Generative AI,31.977777777777778
